SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
Technologies,Digital Technologies,Foundation,Knowledge and understanding,Digital systems,AC9TDIFK01,Recognise and explore digital systems (hardware and software) for a purpose,,"Recognising digital systems that they interact with at home and school, for example smartphone, laptop or programmable toy",
Technologies,Digital Technologies,Foundation,Knowledge and understanding,Digital systems,AC9TDIFK01,Recognise and explore digital systems (hardware and software) for a purpose,,"Playing with (with guidance) and using different digital systems to explore what they do for a purpose, for example the class speaking to an expert via videoconference",
Technologies,Digital Technologies,Foundation,Knowledge and understanding,Digital systems,AC9TDIFK01,Recognise and explore digital systems (hardware and software) for a purpose,,"Recording, with permission, audio or video of local community members’ stories to share in class, for example sharing cultural stories of First Nations Australians",
Technologies,Digital Technologies,Foundation,Knowledge and understanding,Digital systems,AC9TDIFK01,Recognise and explore digital systems (hardware and software) for a purpose,,"Taking photos, with permission, to share with others, for example close-up photos of First Nations Australians’ material culture, such as woven mats or baskets revealing intricate detail",
Technologies,Digital Technologies,Foundation,Knowledge and understanding,Digital systems,AC9TDIFK01,Recognise and explore digital systems (hardware and software) for a purpose,,"Making a model of a digital system, using it in a role-play scenario and describing its features, for example a cardboard box with a keyboard and screen with app icons",
Technologies,Digital Technologies,Foundation,Knowledge and understanding,Data representation,AC9TDIFK02,"Represent data as objects, pictures and symbols",,"Drawing a picture representing each of their family members and their interests, for example drawing one family member with a surfboard and another with a skateboard",
Technologies,Digital Technologies,Foundation,Knowledge and understanding,Data representation,AC9TDIFK02,"Represent data as objects, pictures and symbols",,"Using coloured blocks to represent an attribute of people, for example representing students and their sports houses with different coloured blocks",
Technologies,Digital Technologies,Foundation,Knowledge and understanding,Data representation,AC9TDIFK02,"Represent data as objects, pictures and symbols",,"Using a symbol to represent an idea, but knowing that the symbol is not the data itself, for example the Australian Aboriginal flag represents First Peoples of Australia, the land and the sun",
Technologies,Digital Technologies,Foundation,Knowledge and understanding,Data representation,AC9TDIFK02,"Represent data as objects, pictures and symbols",,"Using a symbol to represent an idea, but knowing that the symbol is not the data itself, for example the symbols and colour on both the Australian Aboriginal flag and the Torres Strait Islander flag",
Technologies,Digital Technologies,Foundation,Processes and production skills,Privacy and security,AC9TDIFP01,Identify some data that is personal and owned by them,,"Listing things that contain personal and public data, for example photos of themselves with their family (private) and photos of local community sites (public)",
Technologies,Digital Technologies,Foundation,Processes and production skills,Privacy and security,AC9TDIFP01,Identify some data that is personal and owned by them,,"Identifying apps and websites they use where their personal data could be made visible, for example photos of themselves on parents’ or carers’ social media, or their username being shown to others in online games",
