SubjectArea,Subject,Band,Term,Definition
HASS,Civics and Citizenship,Year 7 to Year 10,Accused,Person or group charged or on trial for committing a criminal offence.
HASS,Civics and Citizenship,Year 7 to Year 10,Argument,A claim justified with reference to evidence.
HASS,Civics and Citizenship,Year 7 to Year 10,Asia / Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
HASS,Civics and Citizenship,Year 7 to Year 10,Australian democracy,"System of government based on the Australian Constitution, a constitutional monarch, liberal democratic values, representation and features of Westminster and Washington parliamentary processes."
HASS,Civics and Citizenship,Year 7 to Year 10,Belief systems,"A set of principles or tenets which together form the basis of a philosophy, moral code or religion"
HASS,Civics and Citizenship,Year 7 to Year 10,Burden of proof,"In law, an obligation to prove what is alleged (e.g. in criminal cases, obligation rests on prosecution; in civil cases, it rests on a plaintiff)."
HASS,Civics and Citizenship,Year 7 to Year 10,Cabinet,"Executive body of government, comprising senior ministers and headed by the Prime Minister, Premier or Chief Minister. It makes decisions on policy issues and directs the legislative programme."
HASS,Civics and Citizenship,Year 7 to Year 10,Candidate,"An individual who nominates for an election, i.e. someone who wants to be elected to a seat in state or federal parliament as a representative of a community or region."
HASS,Civics and Citizenship,Year 7 to Year 10,Citizen,An individual who has formal membership of a political community (e.g. a nation) and who is given privileges (e.g. voting in elections or a referendum) and has responsibilities (e.g. jury duty).
HASS,Civics and Citizenship,Year 7 to Year 10,Citizenship,"The legal status of full membership of a nation acquired by birth or application with civil (rights, responsibilities), political (participation, representation) and social (contribution) commitments."
HASS,Civics and Citizenship,Year 7 to Year 10,Civic life,"Participation in civic, political, legal or community affairs (e.g. investigating an issue, voting in an election, expressing an opinion or volunteering for an environmental group)."
HASS,Civics and Citizenship,Year 7 to Year 10,Civics,"Rights and responsibilities of citizens, and the organisation and working of a society's political and legal systems (e.g. political and social heritage, shared values or democratic processes)."
HASS,Civics and Citizenship,Year 7 to Year 10,Civility,"Demonstration of understanding of and respect for a nation's political and legal systems, including its democratic values and freedoms and cultural heritage."
HASS,Civics and Citizenship,Year 7 to Year 10,Cohesive society,"Society that builds positive social relationships and ensures inclusive, resilient and productive communities."
HASS,Civics and Citizenship,Year 7 to Year 10,Colonisation,"The act of setting up a colony away from one’s place of origin. With humans, it can be seen negatively because it tends to involve an invading culture taking control over an indigenous population."
HASS,Civics and Citizenship,Year 7 to Year 10,Constitution,Fundamental principles that govern an organisation or a nation (e.g. the Commonwealth of Australia Constitution Act (1900) sets out the basic rules or specific powers for the government of Australia).
HASS,Civics and Citizenship,Year 7 to Year 10,Constitutional change,"Amendment to Australia's Constitution, which involves federal parliament passing a bill, the issue of a writ, and giving voters information and gaining their agreement with the proposed change."
HASS,Civics and Citizenship,Year 7 to Year 10,Constitutional monarchy,A form of government where a monarch is head of state and whose role (e.g. formal or ceremonial) and powers (e.g. issuing a writ for an election) are defined in the nation's constitution.
HASS,Civics and Citizenship,Year 7 to Year 10,Coordinates,A set of values that define the position of a point or an object in a space. The coordinate system being used will govern the nature of the coordinates.
HASS,Civics and Citizenship,Year 7 to Year 10,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. They include lands, waters and sky."
HASS,Civics and Citizenship,Year 7 to Year 10,Court,"A key institution or forum within Australia's legal system where legally enforceable judgements are made in civil and criminal cases, presided over by judge/s or a magistrate."
HASS,Civics and Citizenship,Year 7 to Year 10,Data,A general term for a set of observations or measurements collected during an investigation. Primary data is collected by the user; secondary data is collected by others.
HASS,Civics and Citizenship,Year 7 to Year 10,Democractic system of government,"A system of government characterised by power being held by the people either directly or indirectly, representatives elected to parliament, protection of human rights and recognition of freedoms."
HASS,Civics and Citizenship,Year 7 to Year 10,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
HASS,Civics and Citizenship,Year 7 to Year 10,Direct action,"The use of strategies to build awareness of an issue, call for change, build support for a proposal, influence others or settle a dispute (e.g. discussion, gain publicity or lobbying)."
