SubjectArea,Subject,Band,Term,Definition
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Active play,"Structured, unstructured or spontaneous play that provides opportunities to be physically active. It may occur indoors or outdoors, alone or with others."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Asia/Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Belief,"Something that is accepted, considered to be true, or held as an opinion."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Border crossing,Negotiating ways of moving between different cultures or between a marginalised and dominant culture.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Coercion,The act of persuading or compelling someone to do something through the use of threats or force.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Community health,Focuses on work within defined communities to maintain and improve the health and wellbeing of all people in that community through collective action
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Consent,"Informed and freely given agreement to engage in an activity, or permission for a specific thing to happen. This could include agreement on what personal data can be shared online."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Context,"The situation or setting of an event, problem or application, whether real or constructed."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. They include lands, waters and sky."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Discrimination,"The unjust or prejudicial treatment of a person or group. Types include racism, homophobia, transphobia, ableism and sexism."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Diversity,"The mix of people in a group or society; i.e. differences in factors such as age, abilities, culture and religion and/or in how people identify in relation to factors such as gender and sexuality."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Drug,"Any substance that alters the body’s function, including prescription drugs, alternative medicines, energy drinks, caffeine, e-cigarettes, alcohol, performance-enhancing or synthetic drugs."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Empathy,The ability to understand and share the feelings of another person.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Fair play,"Participation in activities, games or sport that is based on equity, respect, inclusion and safety. It is free from any biases and usually includes the application of rules and/or etiquette."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Fundamental movement skills,"Basic movements or precursor patterns that form the basis for physical activities, including dance and sports. These can include locomotor, non-locomotor, axial movements and object control skills."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Gender stereotypes,The beliefs that people have about the characteristics of males and females. Stereotypes can vary between cultures and over time. Gender stereotyping can be harmful to people of all genders.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Health information,"Information, advice or direction related to health, safety and wellbeing."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Health information and messages,"Any message, advertising, information, advice or direction related to health, safety and wellbeing"
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Health messages,"Any message or advertising related to the health, safety and wellbeing of people."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Health-enhancing behaviours,A range of behaviours that if practised regularly will improve a person’s overall health and wellbeing.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Health-related fitness,"Physical fitness is considered a measure of a body’s ability to function efficiently, effectively and without injury in work and leisure activities, to pursue recreational activities and to cope with emergency situations. Health-related fitness includes components such as cardiovascular fitness, flexibility, muscular endurance and strength."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Identities,"Characteristics and capabilities of a person or characteristics of a social group. These are constructed according to things such as where we come from, who we relate to, how we belong and what we do."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Imaginative play,"Acting out and exploring real and imagined roles, tasks or stories. It may involve expressing feelings and choices, and experiencing multiple perspectives."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Initiative games,"Fun, cooperative, challenging games that require groups to collabourate to solve a speciﬁc problem."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Kinship,"A system used to decide how people relate to each other and their roles, responsibilities and duties. It is a feature of First Nations Australians’ social organisation and family relationships."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Locomotor skills,"The ability to move from one place to another (e.g. walking, rolling or skipping)."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Mental health,A state of mental wellbeing in which a person can function and manage ordinary stresses.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Minor games,"Simple games designed for the practise of skills, tactics and strategies in a challenging situation."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Movement challenges,"Movement tasks that require students to use a problem-solving approach to successfully complete the task. The solution can be verbalised, documented or demonstrated physically."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Movement concepts,"A framework for enhancing movement performance. Movement concepts include body awareness; spatial awareness; effort awareness; and relationship to or with objects, people and space."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Movement sequence,A combination of skills and movement elements to enable a body or objects to move in response to a stimulus; or a planned order of movements.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Movement situation,"A situation where students are moving with the intent of achieving an outcome, such as to score a goal, perform a sequence of movements, retain possession or cross a creek."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Movement strategies,"Approaches that will achieve a movement outcome, including moving into space to receive a pass, hitting a ball away from opponents to score runs, or timing your sprint to finish a race strongly."
