SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Health and Physical Education,Health and Physical Education,Foundation,AC9HPFASC01,"By the end of Foundation, students describe similarities and differences between themselves and others, and different emotions people experience.","Personal, social and community health","between,describe,differences,different,emotions,experience,foundation,others,people,similarities,students,themselves","AC9HPFP03,AC9HPFP01",High
Health and Physical Education,Health and Physical Education,Foundation,AC9HPFASC02,They demonstrate personal and social skills to interact respectfully with others.,"Personal, social and community health","demonstrate,interact,others,personal,respectfully,skills,social",AC9HPFP02,High
Health and Physical Education,Health and Physical Education,Foundation,AC9HPFASC03,They identify and demonstrate protective behaviours and help-seeking strategies to keep themselves safe.,"Personal, social and community health","behaviours,demonstrate,help-seeking,identify,keep,protective,safe,strategies,themselves","AC9HPFP05,AC9HPFP04",High
Health and Physical Education,Health and Physical Education,Foundation,AC9HPFASC04,Students identify how health information can be used in their lives.,"Personal, social and community health","health,identify,information,lives,students,used",AC9HPFP06,High
Health and Physical Education,Health and Physical Education,Foundation,AC9HPFASC05,Students apply fundamental movement skills to manipulate objects and space in a range of movement situations.,Movement and physical activity,"apply,fundamental,manipulate,movement,objects,range,situations,skills,space,students","AC9HPFM01,AC9HPFM02",High
Health and Physical Education,Health and Physical Education,Foundation,AC9HPFASC06,Students identify the benefits of being physically active and how rules make play fair and inclusive.,Movement and physical activity,"active,benefits,fair,identify,inclusive,make,physically,play,rules,students","AC9HPFM03,AC9HPFM04",High
Health and Physical Education,Health and Physical Education,Years 1 and 2,AC9HP2ASC01,"By the end of Year 2, students explain how personal qualities contribute to identities.","Personal, social and community health","contribute,explain,identities,personal,qualities,students,year",AC9HP2P01,High
Health and Physical Education,Health and Physical Education,Years 1 and 2,AC9HP2ASC02,They describe how emotional responses affect their own and others' feelings.,"Personal, social and community health","affect,describe,emotional,feelings,others',responses",AC9HP2P03,High
Health and Physical Education,Health and Physical Education,Years 1 and 2,AC9HP2ASC03,They demonstrate skills and describe strategies required to develop respectful relationships.,"Personal, social and community health","demonstrate,describe,develop,relationships,required,respectful,skills,strategies",AC9HP2P02,High
Health and Physical Education,Health and Physical Education,Years 1 and 2,AC9HP2ASC04,Students apply protective behaviours and help-seeking strategies to keep themselves and others safe.,"Personal, social and community health","apply,behaviours,help-seeking,keep,others,protective,safe,strategies,students,themselves","AC9HP2P05,AC9HP2P04",High
