SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,Economics and Business,Year 7,Knowledge and Understanding,,AC9HE7K01,Why opportunity cost exists as decisions are made to allocate limited resources to meet unlimited needs and wants,,"Explaining the concept of “economic scarcity” in relation to “What to produce?”, “How to produce?” or “For whom to produce?”",
HASS,Economics and Business,Year 7,Knowledge and Understanding,,AC9HE7K01,Why opportunity cost exists as decisions are made to allocate limited resources to meet unlimited needs and wants,,"Identifying the needs and wants of a local community, and exploring how limited resources are currently used to meet unlimited needs and wants",
HASS,Economics and Business,Year 7,Knowledge and Understanding,,AC9HE7K01,Why opportunity cost exists as decisions are made to allocate limited resources to meet unlimited needs and wants,,Explaining how economic resources might be used more sustainably to meet needs and wants into the future,
HASS,Economics and Business,Year 7,Knowledge and Understanding,,AC9HE7K01,Why opportunity cost exists as decisions are made to allocate limited resources to meet unlimited needs and wants,,Investigating how First Nations communities use exchange systems (barter) or networks (partnerships) to decide about the use of limited resources in sustainable ways,
HASS,Economics and Business,Year 7,Knowledge and Understanding,,AC9HE7K01,Why opportunity cost exists as decisions are made to allocate limited resources to meet unlimited needs and wants,,"Explaining the concept of “opportunity cost” in relation to a choice; for example, if a student chooses to spend their time (resource) riding their bike after school, they cannot go for a swim (trade-off)",
HASS,Economics and Business,Year 7,Knowledge and Understanding,,AC9HE7K02,The reasons businesses exist and how different types of businesses provide goods and services,,"Identifying why businesses exist; for example, to produce goods and services, to make a profit, to provide employment, and investigating the different ways that goods and services are provided to people, such as through shopping centres, local markets, online, small independent stores and remote community stores",
HASS,Economics and Business,Year 7,Knowledge and Understanding,,AC9HE7K02,The reasons businesses exist and how different types of businesses provide goods and services,,"Identifying the features of different types of businesses, including sole proprietorship, partnership, cooperative, corporation, franchise and not-for-profit organisation",
HASS,Economics and Business,Year 7,Knowledge and Understanding,,AC9HE7K02,The reasons businesses exist and how different types of businesses provide goods and services,,"Investigating a business owned by First Nations Australians, exploring the types of goods and services offered and why this business was started",
HASS,Economics and Business,Year 7,Knowledge and Understanding,,AC9HE7K02,The reasons businesses exist and how different types of businesses provide goods and services,,"Identifying examples of different types of businesses that sell goods and/or services in the local community; for example, a sole proprietor operating a car yard, a partnership providing legal services or a corporation selling groceries through a chain of supermarkets",
HASS,Economics and Business,Year 7,Knowledge and understanding,,AC9HE7K03,Characteristics of entrepreneurs and how these influence the success of a business,,"Identifying examples of entrepreneurs and the entrepreneurial knowledge and skills that they bring to their business, such as recognising opportunities, establishing a shared vision and making decisions about how the business is run",
