SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Digital systems,AC9TDI8K01,Explain how hardware specifications affect performance and select appropriate hardware for particular tasks and workloads,,"Explaining how hardware specifications affect what, and how quickly, a digital system can perform tasks, for example how different bandwidth networks affect download speed and lag or how much random access memory (RAM) is needed for multimedia authoring",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Digital systems,AC9TDI8K01,Explain how hardware specifications affect performance and select appropriate hardware for particular tasks and workloads,,"Selecting appropriate hardware for particular tasks, for example choosing a powerful graphics card for computer gaming or large external storage for video editing",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Digital systems,AC9TDI8K01,Explain how hardware specifications affect performance and select appropriate hardware for particular tasks and workloads,,"Considering how First Nations Australian communities in areas classified as remote often share access to smartphone and internet services, and how the hardware specifications of these devices affect performance, for example where immediate and extended families share and access data through a single smartphone or device",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Digital systems,AC9TDI8K01,Explain how hardware specifications affect performance and select appropriate hardware for particular tasks and workloads,,"Explaining how the specifications of components in a system impact the speed with which AI models can be trained; for example, GPUs are more efficient at performing the mathematical calculations necessary for training generative AI than CPUs",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,,AC9TDI8K02,Investigate how data is transmitted and secured in wired and wireless networks including the internet,,"Describing physical networks and comparing their properties, for example the bandwidth, latency and reliability of wired versus wireless networks",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,,AC9TDI8K02,Investigate how data is transmitted and secured in wired and wireless networks including the internet,,"Explaining why cryptography is necessary for securing data, for example transmitting credit card details over the internet",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,,AC9TDI8K02,Investigate how data is transmitted and secured in wired and wireless networks including the internet,,"Exploring simple encryption and decryption algorithms, for example ROT13 and XOR",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,,AC9TDI8K02,Investigate how data is transmitted and secured in wired and wireless networks including the internet,,"Explaining how problems occur in network communication and how they can be solved, for example routers can drop packets and how Transmission Control Protocol (TCP) uses acknowledgements to confirm packets have been received",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Data representation,AC9TDI8K03,"Investigate how digital systems represent text, image and audio data using integers",,"Explaining how digital systems represent text as a sequence of individual characters numbered using the Unicode character set, for example upper-case and lower-case letters, punctuation and emoji",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Data representation,AC9TDI8K03,"Investigate how digital systems represent text, image and audio data using integers",,"Explaining how digital systems represent audio using whole numbers for the amplitude of the soundwave at a given sampling rate, for example -32,768 to 32,767 for 16-bit audio at 44,100 Hz",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Data representation,AC9TDI8K03,"Investigate how digital systems represent text, image and audio data using integers",,"Explaining how digital systems represent bitmap images (for example PNG and JPEG) as the colour of each pixel in separate red, green and blue (RGB) channels ranging from 0 to 255, and represent vector graphics, for example Scalable Vector Graphics (SVG) using the geometry of lines and shapes",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Data representation,AC9TDI8K03,"Investigate how digital systems represent text, image and audio data using integers",,"Investigating how a digital system converts audio data to integers as it records, stores and outputs sound, for example using the Welcome to Country app to understand the local history and Traditional Owners of the lands which students learn on to inform the programming of an Acknowledgement of Country in a local First Nations Australian language",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Data representation,AC9TDI8K04,Explain how and why digital systems represent integers in binary,,"Explaining how whole numbers can be represented in binary, for example counting in binary from 0 to 31, and recognising that one byte = 8 bits, which can represent from 0 to 255",
Technologies,Digital Technologies,Years 7 and 8,Knowledge and understanding,Data representation,AC9TDI8K04,Explain how and why digital systems represent integers in binary,,"Explaining how digital systems represent data in binary, for example by converting a character to its Unicode value, then converting that value into binary",
